HouseType,Price,Size,Bedrooms,Bathrooms,Level,Furnished,Area,City,ElectricityMeter,BuiltinKitchenAppliances,WaterMeter,Elevator,Balcony,NaturalGas,Landline,Security,CentralAC,CoveredParking,PetsAllowed,PrivateGarden,MaidsRoom,Pool,Lat,Long
Apartment,26000,90,2,1,2,1,Rehab City,Cairo,1,1,1,0,1,1,0,1,0,0,0,1,0,0,30.063584,31.4889939
Apartment,29000,186,3,3,3,0,Mivida,Cairo,1,0,1,1,1,1,1,1,0,1,1,0,0,1,30.00579785,31.537649320922906
Penthouse,30000,19,3,2,4,0,Mountain View Hyde Park,Cairo,1,0,1,1,0,1,0,0,0,0,1,0,0,1,29.98737805,31.5554474
Apartment,7000,170,3,2,4,0,Maadi,Cairo,1,0,1,1,1,0,1,0,0,0,0,0,0,0,29.9597112,31.258077057336912
Apartment,23000,96,2,2,3,1,Madinaty,Cairo,0,0,0,0,1,1,0,0,0,0,0,0,0,0,30.093319,31.63791604173324
Studio,3000,30,1,1,0,1,Nasr City,Cairo,1,1,1,1,1,1,1,1,0,0,0,0,0,0,30.0521177,31.3422045
Apartment,17000,190,3,3,0,0,Jayd,Cairo,1,1,1,0,1,0,0,1,0,0,0,1,0,0,30.0653358,31.52110655330324
Apartment,4500,140,3,2,2,0,15 May City,Cairo,1,1,1,0,1,1,1,0,0,1,0,0,0,0,30.1229914,31.6158456
Apartment,25000,240,3,3,6,1,Nasr City,Cairo,1,1,0,1,1,1,1,0,0,0,0,0,0,0,30.0521177,31.3422045
Apartment,15000,155,3,3,2,0,Rehab City,Cairo,1,0,1,0,1,1,1,1,0,1,1,0,1,0,30.063584,31.4889939
Duplex,70000,270,3,3,0,1,Uptown Cairo,Cairo,1,1,1,0,1,1,1,1,1,1,1,1,1,0,30.02362815,31.304425051498075
Apartment,55000,120,2,2,0,1,Lake view Residence,Cairo,1,1,1,1,0,1,1,1,0,1,1,1,0,0,30.0244139,31.538300149025318
Apartment,12000,92,2,1,0,0,Rehab City,Cairo,1,0,1,1,1,1,1,1,0,1,1,0,0,0,30.063584,31.4889939
Apartment,9000,96,2,2,5,0,Madinaty,Cairo,1,0,1,1,1,1,1,1,0,0,0,0,0,0,30.093319,31.63791604173324
Apartment,27000,300,4,4,11,0,Nasr City,Cairo,1,0,1,1,1,1,1,1,0,0,0,0,0,0,30.0521177,31.3422045
Apartment,14000,100,2,1,5,1,Nasr City,Cairo,1,1,1,1,1,1,1,1,1,0,0,0,0,0,30.0521177,31.3422045
Apartment,30000,120,3,2,0,1,Rehab City,Cairo,0,0,0,0,0,0,0,0,0,0,0,1,0,0,30.063584,31.4889939
Apartment,6500,160,3,2,1,0,New Cairo,Cairo,1,0,1,0,0,0,1,1,0,0,0,0,0,0,42.3040807,-74.01013495333201
Apartment,25000,120,2,1,1,1,Sheraton,Cairo,1,1,1,1,1,1,1,0,0,0,0,0,0,0,30.107562199999997,31.40870574519208
Apartment,11000,125,2,1,1,1,Shorouk City,Cairo,1,1,1,0,1,0,1,1,1,0,0,0,0,0,30.149150650000003,31.629114053470285
Apartment,15000,175,3,2,1,1,El Banafseg 5,Cairo,1,1,1,1,1,1,1,1,1,0,0,0,0,0,30.0638757,31.4831418
Apartment,35000,146,2,2,2,1,The Village,Cairo,1,1,1,1,1,1,0,1,1,1,0,0,0,0,10.7592548,122.5895577
Apartment,40000,20,3,3,4,1,Zamalek,Cairo,1,1,1,1,0,1,1,1,0,0,0,0,0,0,30.055459550000002,31.219631655798278
Apartment,1200,170,4,2,4,1,Sheraton,Cairo,1,1,1,1,0,0,1,0,0,0,0,0,0,0,30.107562199999997,31.40870574519208
Apartment,4500,150,3,3,0,0,New Cairo,Cairo,1,0,1,1,0,1,0,0,0,0,0,0,0,0,42.3040807,-74.01013495333201
Apartment,17000,162,3,3,5,0,Rehab City,Cairo,1,0,1,1,1,1,1,1,0,1,1,0,0,0,30.063584,31.4889939
Apartment,40000,319,3,3,0,0,Uptown Cairo,Cairo,1,0,1,1,1,1,1,1,1,1,1,1,1,0,30.02362815,31.304425051498075
Apartment,15000,89,2,2,3,1,Rehab City,Cairo,1,1,1,1,1,1,1,1,1,1,1,0,1,0,30.063584,31.4889939
Apartment,25000,155,3,3,3,1,Rehab City,Cairo,1,1,1,1,1,1,1,1,1,1,1,0,1,0,30.063584,31.4889939
Duplex,50000,270,3,3,0,0,Uptown Cairo,Cairo,1,1,1,1,1,1,1,0,1,0,0,1,1,0,30.02362815,31.304425051498075
Apartment,5500,120,2,1,3,1,Nasr City,Cairo,1,1,1,1,1,1,1,1,0,0,0,0,0,0,30.0521177,31.3422045
Apartment,18000,104,3,2,2,1,Madinaty,Cairo,1,0,1,0,1,1,0,1,0,0,0,0,0,0,30.093319,31.63791604173324
Apartment,32000,142,2,2,3,0,Lake view Residence,Cairo,1,1,1,1,1,1,1,1,1,1,1,0,0,0,30.0244139,31.538300149025318
Apartment,2250,90,3,1,4,0,Tura,Cairo,1,0,1,0,0,1,0,0,0,0,0,0,0,0,29.9345933,31.2807256
Apartment,5500,65,2,1,1,1,Shorouk City,Cairo,1,1,1,0,1,1,0,0,1,0,0,0,0,0,30.149150650000003,31.629114053470285
Apartment,25000,208,3,3,1,0,Fifth Square,Cairo,1,0,1,1,1,1,0,1,1,1,1,0,0,0,30.051085999999998,31.537079494992852
Apartment,18000,18,3,3,2,0,Hyde Park New Cairo,Cairo,1,1,1,1,1,1,1,1,1,0,0,0,0,0,29.9865446,31.552985
